Thu Dec 10 14:16:36 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk50_kinf
Run: pp,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=3) 2015-12-17 09:00:42.547189
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
7.8333,8.2350,8.1250,6.5478,5.0478,5.0000,-1.3533,-1.2262,-1.2737,-1.2601,-1.1330,-0.0796,0.0474,0.3620,0.7099,0.8389,0.3478,0.4768,1.5293,1.6583,-1.9136,-2.0426,-1.8302,1.1814,0.9637,-0.0182,0.1577,0.1606
7.9167,8.2350,8.1250,6.5478,5.0478,5.0000,-1.4210,-1.2940,-1.3353,-1.2652,-1.1380,-0.0859,0.0411,0.2988,0.7420,0.8711,0.4426,0.5717,1.6231,1.7520,-1.9089,-2.0379,-1.8258,1.1802,0.9731,-0.0290,0.1577,0.1606
8.0000,8.2350,8.1250,6.5478,5.0478,5.0000,-1.4891,-1.3620,-1.3968,-1.2692,-1.1421,-0.0925,0.0345,0.2343,0.7683,0.8974,0.5343,0.6634,1.7117,1.8407,-1.9038,-2.0328,-1.8183,1.1776,0.9818,-0.0403,0.1576,0.1606
8.0833,8.2350,8.1250,6.5478,5.0478,5.0000,-1.5576,-1.4306,-1.4586,-1.2725,-1.1454,-0.0995,0.0276,0.1683,0.7902,0.9193,0.6229,0.7520,1.7964,1.9254,-1.8986,-2.0276,-1.8088,1.1738,0.9899,-0.0529,0.1576,0.1606
8.1667,8.2350,8.1250,6.5478,5.0478,5.0000,-1.6264,-1.4994,-1.5205,-1.2757,-1.1485,-0.1066,0.0205,0.1017,0.8102,0.9393,0.7087,0.8378,1.8785,2.0075,-1.8933,-2.0224,-1.7989,1.1699,0.9977,-0.0674,0.1575,0.1606
8.2500,8.2350,8.1250,6.5478,5.0478,5.0000,-1.6948,-1.5677,-1.5822,-1.2784,-1.1512,-0.1134,0.0137,0.0362,0.8273,0.9563,0.7913,0.9204,1.9570,2.0860,-1.8881,-2.0171,-1.7884,1.1664,1.0050,-0.0833,0.1574,0.1606
8.3333,8.2350,8.1250,6.5478,5.0478,5.0000,-1.7614,-1.6343,-1.6426,-1.2808,-1.1537,-0.1196,0.0075,-0.0277,0.8420,0.9710,0.8703,0.9994,2.0322,2.1612,-1.8829,-2.0119,-1.7773,1.1631,1.0118,-0.1010,0.1573,0.1605
8.4167,8.2350,8.1250,6.5478,5.0478,5.0000,-1.8260,-1.6989,-1.7014,-1.2831,-1.1560,-0.1252,0.0019,-0.0905,0.8551,0.9841,0.9459,1.0750,2.1045,2.2336,-1.8777,-2.0067,-1.7661,1.1599,1.0183,-0.1207,0.1572,0.1605
8.5000,8.2350,8.1250,6.5478,5.0478,5.0000,-1.8893,-1.7623,-1.7592,-1.2851,-1.1580,-0.1303,-0.0032,-0.1521,0.8659,0.9949,1.0181,1.1471,2.1736,2.3026,-1.8725,-2.0015,-1.7544,1.1569,1.0244,-0.1422,0.1571,0.1605
6.5000,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6505,-0.5234,-0.3529,-0.9347,-0.8076,-0.2988,-0.1718,0.7462,-0.9790,-0.8499,-1.7233,-1.5941,-1.0848,-0.9559,-2.0872,-2.2163,-1.2695,0.6388,0.7571,0.2595,0.1593,0.1605
6.5833,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6473,-0.5202,-0.3883,-0.9484,-0.8214,-0.2602,-0.1331,0.7628,-0.8126,-0.6836,-1.5737,-1.4446,-0.8823,-0.7532,-2.0759,-2.2049,-1.3319,0.6916,0.7771,0.2459,0.1591,0.1606
6.6667,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6484,-0.5212,-0.4263,-0.9627,-0.8357,-0.2232,-0.0961,0.7757,-0.6514,-0.5223,-1.4254,-1.2964,-0.6823,-0.5532,-2.0656,-2.1946,-1.3923,0.7433,0.7964,0.2325,0.1590,0.1606
6.7500,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6528,-0.5257,-0.4668,-0.9779,-0.8508,-0.1874,-0.0603,0.7858,-0.4939,-0.3648,-1.2782,-1.1492,-0.4840,-0.3549,-2.0561,-2.1851,-1.4512,0.7942,0.8152,0.2194,0.1589,0.1606
6.8333,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6611,-0.5340,-0.5097,-0.9937,-0.8666,-0.1530,-0.0259,0.7923,-0.3416,-0.2125,-1.1325,-1.0035,-0.2885,-0.1593,-2.0475,-2.1765,-1.5080,0.8441,0.8333,0.2067,0.1588,0.1606
