Sat 4 Jul 2015 12:30:12 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk80
Run: sph,two,LPk=8.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   8.5000,  8.3620,  8.2520,  7.1220,  5.6220, -1.5652, -1.4382, -1.7791, -1.0267, -0.8996,  0.2139,  0.3410, -0.0865,  0.8197,  0.9487,  0.9061,  1.0351,  2.1467,  2.2758, -1.9961, -2.1251, -1.8319,  1.2406,  0.9870,  0.1375, -0.2431, -0.2932
c
   6.5000,  8.7600,  8.6500,  7.5200,  6.0200, -0.1734, -0.0463, -0.3129, -0.2900, -0.1630,  0.1395,  0.2666,  0.5757, -1.4353, -1.3062, -2.0110, -1.8819, -1.5814, -1.4524, -2.3329, -2.4619, -1.0691,  0.4296,  0.5814,  0.3980, -0.2572, -0.3106
   6.7500,  8.7600,  8.6500,  7.5200,  6.0200, -0.1754, -0.0484, -0.4278, -0.3157, -0.1886,  0.2524,  0.3795,  0.5988, -0.9693, -0.8402, -1.5680, -1.4390, -1.0000, -0.8709, -2.3175, -2.4465, -1.2568,  0.5681,  0.6143,  0.3925, -0.2597, -0.3117
   7.0000,  8.7600,  8.6500,  7.5200,  6.0200, -0.1984, -0.0714, -0.5635, -0.3486, -0.2216,  0.3650,  0.4921,  0.6083, -0.5236, -0.3946, -1.1320, -1.0029, -0.4183, -0.2892, -2.3078, -2.4368, -1.4446,  0.7137,  0.6494,  0.3917, -0.2616, -0.3124
   7.2500,  8.7600,  8.6500,  7.5200,  6.0200, -0.2571, -0.1300, -0.7207, -0.3938, -0.2667,  0.4636,  0.5907,  0.5945, -0.1235,  0.0055, -0.7180, -0.5890,  0.1393,  0.2684, -2.3075, -2.4365, -1.6235,  0.8574,  0.6941,  0.3912, -0.2632, -0.3133
   7.5000,  8.7600,  8.6500,  7.5200,  6.0200, -0.3601, -0.2331, -0.8989, -0.4442, -0.3171,  0.5388,  0.6658,  0.5419,  0.1973,  0.3263, -0.3446, -0.2155,  0.6384,  0.7674, -2.3225, -2.4516, -1.7770,  0.9829,  0.7484,  0.3858, -0.2649, -0.3147
   7.7500,  8.7600,  8.6500,  7.5200,  6.0200, -0.4983, -0.3712, -1.0912, -0.4859, -0.3588,  0.5929,  0.7200,  0.4457,  0.4210,  0.5500, -0.0247,  0.1043,  1.0541,  1.1832, -2.3495, -2.4786, -1.8895,  1.0788,  0.8020,  0.3733, -0.2671, -0.3170
   8.0000,  8.7600,  8.6500,  7.5200,  6.0200, -0.6508, -0.5237, -1.2847, -0.5131, -0.3860,  0.6340,  0.7610,  0.3208,  0.5631,  0.6922,  0.2424,  0.3714,  1.3895,  1.5185, -2.3757, -2.5047, -1.9552,  1.1471,  0.8461,  0.3568, -0.2701, -0.3202
   8.2500,  8.7600,  8.6500,  7.5200,  6.0200, -0.7978, -0.6707, -1.4657, -0.5271, -0.4000,  0.6679,  0.7950,  0.1880,  0.6526,  0.7816,  0.4646,  0.5936,  1.6596,  1.7887, -2.3911, -2.5201, -1.9724,  1.1951,  0.8802,  0.3407, -0.2746, -0.3255
