Sat 4 Jul 2015 12:21:49 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk45
Run: sph,two,LPk=4.5,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   7.7500,  8.7600,  8.6500,  7.5200,  6.0200, -0.5598, -0.4327, -0.7872, -0.5881, -0.4610,  0.2274,  0.3545,  0.4954,  0.0755,  0.2045, -0.4199, -0.2909,  0.3956,  0.5247, -2.5974, -2.7264, -1.9738,  0.8155,  0.6749,  0.2777,  0.1625,  0.1622
   8.0000,  8.7600,  8.6500,  7.5200,  6.0200, -0.6439, -0.5168, -0.8862, -0.5984, -0.4713,  0.2424,  0.3694,  0.4223,  0.1613,  0.2903, -0.2610, -0.1319,  0.5797,  0.7088, -2.6425, -2.7715, -1.9902,  0.8407,  0.6623,  0.2475,  0.1625,  0.1622
   8.2500,  8.7600,  8.6500,  7.5200,  6.0200, -0.6977, -0.5706, -0.9473, -0.6026, -0.4755,  0.2496,  0.3767,  0.3732,  0.2009,  0.3300, -0.1723, -0.0432,  0.6800,  0.8090, -2.6715, -2.8005, -1.9881,  0.8522,  0.6531,  0.2271,  0.1625,  0.1622
   8.5000,  8.7600,  8.6500,  7.5200,  6.0200, -0.7268, -0.5997, -0.9801, -0.6055, -0.4784,  0.2533,  0.3803,  0.3472,  0.2207,  0.3497, -0.1266,  0.0025,  0.7322,  0.8612, -2.6854, -2.8145, -1.9823,  0.8588,  0.6495,  0.2156,  0.1624,  0.1621
c
   6.5000,  9.0610,  8.9510,  7.8210,  6.3210, -0.3295, -0.2024, -0.4022,  0.2116,  0.3386,  0.0727,  0.1997, -0.0571, -2.3310, -2.2020, -2.2740, -2.1449, -2.4129, -2.2838,    -inf,    -inf, -1.1344, -0.1389, -0.0540,  0.2281,  0.1649,  0.1626
   6.7500,  9.0610,  8.9510,  7.8210,  6.3210, -0.3116, -0.1845, -0.4717,  0.1838,  0.3109,  0.1601,  0.2872, -0.0132, -1.8747, -1.7456, -1.8615, -1.7324, -1.8852, -1.7562, -3.2373, -3.3663, -1.3082, -0.0237, -0.0053,  0.2207,  0.1649,  0.1625
   7.0000,  9.0610,  8.9510,  7.8210,  6.3210, -0.3185, -0.1914, -0.5707,  0.1553,  0.2824,  0.2522,  0.3793,  0.0076, -1.4407, -1.3116, -1.4482, -1.3192, -1.3513, -1.2223, -3.2248, -3.3539, -1.4833,  0.0969,  0.0279,  0.2053,  0.1648,  0.1625
   7.2500,  9.0610,  8.9510,  7.8210,  6.3210, -0.3590, -0.2319, -0.6952,  0.1233,  0.2503,  0.3362,  0.4633, -0.0011, -1.0592, -0.9302, -1.0581, -0.9291, -0.8451, -0.7161, -3.2381, -3.3671, -1.6463,  0.2130,  0.0472,  0.1834,  0.1648,  0.1625
   7.5000,  9.0610,  8.9510,  7.8210,  6.3210, -0.4403, -0.3132, -0.8400,  0.0964,  0.2235,  0.3998,  0.5268, -0.0553, -0.7820, -0.6529, -0.7267, -0.5977, -0.4233, -0.2943, -3.3051, -3.4341, -1.7692,  0.3034,  0.0425,  0.1503,  0.1648,  0.1624
   7.7500,  9.0610,  8.9510,  7.8210,  6.3210, -0.5473, -0.4203, -0.9899,  0.0854,  0.2125,  0.4426,  0.5696, -0.1502, -0.6466, -0.5176, -0.4964, -0.3673, -0.1392, -0.0102, -3.4243, -3.5534, -1.8311,  0.3572,  0.0049,  0.1021,  0.1647,  0.1623
   8.0000,  9.0610,  8.9510,  7.8210,  6.3210, -0.6450, -0.5180, -1.1177,  0.0813,  0.2083,  0.4727,  0.5997, -0.2421, -0.6290, -0.5000, -0.3869, -0.2579,  0.0045,  0.1335, -3.5299, -3.6589, -1.8506,  0.3914, -0.0511,  0.0464,  0.1646,  0.1622
   8.2500,  9.0610,  8.9510,  7.8210,  6.3210, -0.7104, -0.5833, -1.2051,  0.0703,  0.1974,  0.4947,  0.6218, -0.2947, -0.6566, -0.5276, -0.3619, -0.2329,  0.0625,  0.1915, -3.5633, -3.6924, -1.8614,  0.4244, -0.0947, -0.0004,  0.1644,  0.1620
   8.5000,  9.0610,  8.9510,  7.8210,  6.3210, -0.7450, -0.6180, -1.2555,  0.0534,  0.1804,  0.5104,  0.6375, -0.3109, -0.6736, -0.5446, -0.3627, -0.2336,  0.0944,  0.2234, -3.5487, -3.6778, -1.8746,  0.4571, -0.1112, -0.0282,  0.1640,  0.1616
c
   6.5000,  9.2370,  9.1270,  7.9970,  6.4970, -0.8617, -0.7346, -1.0710,  0.9007,  1.0278,  0.2093,  0.3363, -1.2486, -3.2283, -3.0992, -1.9797, -1.8507, -2.6712, -2.5421,    -inf,    -inf, -0.8445, -0.6915, -1.2425, -0.3622,  0.1640,  0.1622
   6.7500,  9.2370,  9.1270,  7.9970,  6.4970, -0.7971, -0.6700, -1.0813,  0.8677,  0.9947,  0.2842,  0.4113, -1.1586, -2.7512, -2.6222, -1.5926, -1.4636, -2.1761, -2.0471,    -inf,    -inf, -1.0102, -0.5835, -1.1439, -0.3082,  0.1640,  0.1621
   7.0000,  9.2370,  9.1270,  7.9970,  6.4970, -0.7895, -0.6625, -1.1524,  0.8461,  0.9731,  0.3629,  0.4899, -1.1334, -2.3317, -2.2027, -1.1983, -1.0693, -1.6815, -1.5524,    -inf,    -inf, -1.1629, -0.4832, -1.0979, -0.2906,  0.1640,  0.1621
   7.2500,  9.2370,  9.1270,  7.9970,  6.4970, -0.8473, -0.7203, -1.2801,  0.8446,  0.9717,  0.4328,  0.5598, -1.1914, -2.0170, -1.8880, -0.8256, -0.6966, -1.2375, -1.1084,    -inf,    -inf, -1.2790, -0.4118, -1.1118, -0.3091,  0.1639,  0.1620
   7.5000,  9.2370,  9.1270,  7.9970,  6.4970, -0.9760, -0.8489, -1.4581,  0.8775,  1.0046,  0.4822,  0.6092, -1.3525, -1.8963, -1.7673, -0.5438, -0.4148, -0.9392, -0.8101,    -inf,    -inf, -1.3133, -0.3953, -1.2111, -0.3747,  0.1637,  0.1619
   7.7500,  9.2370,  9.1270,  7.9970,  6.4970, -1.1217, -0.9946, -1.6437,  0.9029,  1.0300,  0.5220,  0.6491, -1.5212, -1.9803, -1.8513, -0.4591, -0.3300, -0.8400, -0.7109,    -inf,    -inf, -1.2962, -0.3809, -1.3546, -0.4760,  0.1635,  0.1616
   8.0000,  9.2370,  9.1270,  7.9970,  6.4970, -1.2001, -1.0730, -1.7692,  0.8668,  0.9938,  0.5691,  0.6961, -1.5599, -2.0986, -1.9696, -0.5387, -0.4097, -0.8364, -0.7074,    -inf,    -inf, -1.3285, -0.2977, -1.4171, -0.5574,  0.1631,  0.1611
   8.2500,  9.2370,  9.1270,  7.9970,  6.4970, -1.1971, -1.0700, -1.8126,  0.7944,  0.9215,  0.6155,  0.7425, -1.4814, -2.1006, -1.9716, -0.6192, -0.4901, -0.7981, -0.6691,    -inf,    -inf, -1.4064, -0.1789, -1.3597, -0.5767,  0.1624,  0.1601
   8.5000,  9.2370,  9.1270,  7.9970,  6.4970, -1.1444, -1.0173, -1.7967,  0.7104,  0.8375,  0.6523,  0.7793, -1.3432, -2.0078, -1.8787, -0.6646, -0.5355, -0.7227, -0.5937,    -inf,    -inf, -1.4928, -0.0581, -1.2322, -0.5448,  0.1608,  0.1580
