Sat 4 Jul 2015 10:44:19 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk50
Run: sph,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
Resampled with pyqz 0.7.0 (sampling=2) 2015-08-17 17:27:23.995958
Original LogQ:[ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12:[ 7.459  8.061  8.362  8.76   9.061  9.237]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),[NII]/Ha(5),[NII]+/Ha(6),[SII]+/Ha(7),[NII]/[OII]+(8),[NII]+/[OII]+(9),[NII]/[SII]+(10),[NII]+/[SII]+(11),[OII]+/Hb(12),[OIII]/Hb(13),[OIII]+/Hb(14),[OIII]/[OII]+(15),[OIII]+/[OII]+(16),[OIII]/[SII]+(17),[OIII]+/[SII]+(18),4363/[OIII](19),4363/[OIII]+(20),[OI]/[OII]+(21),[OII]+/[SII]+(22),R23(23),S23(24),6716/6731(25),3729/3726(26)
6.6667,7.6597,7.5497,6.4197,4.9197,-1.5905,-1.4634,-0.9357,-1.3514,-1.2243,-0.6591,-0.5320,0.2254,-1.1965,-1.0675,-1.4196,-1.2906,-0.7274,-0.5983,-1.9109,-2.0400,-1.4222,0.6942,0.2466,-0.2754,0.1584,0.1607
6.7500,7.6597,7.5497,6.4197,4.9197,-1.5917,-1.4646,-0.9716,-1.3718,-1.2447,-0.6247,-0.4976,0.2441,-1.0302,-0.9011,-1.2721,-1.1430,-0.5252,-0.3961,-1.8919,-2.0209,-1.4862,0.7487,0.2741,-0.2844,0.1583,0.1607
6.8333,7.6597,7.5497,6.4197,4.9197,-1.5962,-1.4691,-1.0089,-1.3934,-1.2663,-0.5925,-0.4654,0.2600,-0.8685,-0.7394,-1.1264,-0.9973,-0.3263,-0.1973,-1.8732,-2.0023,-1.5479,0.8017,0.3016,-0.2924,0.1581,0.1607
6.9167,7.6597,7.5497,6.4197,4.9197,-1.6053,-1.4782,-1.0472,-1.4154,-1.2883,-0.5635,-0.4364,0.2720,-0.7131,-0.5840,-0.9831,-0.8540,-0.1324,-0.0033,-1.8551,-1.9842,-1.6063,0.8524,0.3291,-0.2994,0.1580,0.1607
7.0000,7.6597,7.5497,6.4197,4.9197,-1.6199,-1.4928,-1.0864,-1.4373,-1.3102,-0.5380,-0.4109,0.2803,-0.5634,-0.4343,-0.8418,-0.7128,0.0576,0.1867,-1.8375,-1.9665,-1.6620,0.9011,0.3567,-0.3052,0.1579,0.1607
7.0833,7.6597,7.5497,6.4197,4.9197,-1.6397,-1.5126,-1.1266,-1.4588,-1.3317,-0.5169,-0.3899,0.2835,-0.4242,-0.2951,-0.7057,-0.5767,0.2375,0.3666,-1.8206,-1.9496,-1.7122,0.9449,0.3836,-0.3100,0.1578,0.1607
7.1667,7.6597,7.5497,6.4197,4.9197,-1.6644,-1.5373,-1.1673,-1.4801,-1.3530,-0.5014,-0.3744,0.2796,-0.2994,-0.1704,-0.5769,-0.4478,0.4027,0.5317,-1.8045,-1.9335,-1.7543,0.9813,0.4096,-0.3140,0.1576,0.1607
7.2500,7.6597,7.5497,6.4197,4.9197,-1.6951,-1.5680,-1.2077,-1.5010,-1.3739,-0.4916,-0.3646,0.2677,-0.1870,-0.0579,-0.4531,-0.3240,0.5567,0.6857,-1.7892,-1.9182,-1.7894,1.0113,0.4351,-0.3166,0.1575,0.1607
7.3333,7.6597,7.5497,6.4197,4.9197,-1.7300,-1.6029,-1.2470,-1.5193,-1.3922,-0.4856,-0.3585,0.2499,-0.0866,0.0424,-0.3364,-0.2074,0.6978,0.8268,-1.7746,-1.9036,-1.8180,1.0357,0.4593,-0.3184,0.1574,0.1607
7.4167,7.6597,7.5497,6.4197,4.9197,-1.7656,-1.6385,-1.2854,-1.5333,-1.4063,-0.4818,-0.3547,0.2287,-0.0002,0.1289,-0.2297,-0.1007,0.8226,0.9517,-1.7608,-1.8898,-1.8391,1.0539,0.4816,-0.3198,0.1573,0.1607
